Source,Target,Drugclass,Weight
Nervous system disorders,Infliximab,Anti-TNF,1
Nervous system disorders,Vedolizumab,Anti-integrin,1
Psychiatric disorders,Infliximab,Anti-TNF,1
Psychiatric disorders,Vedolizumab,Anti-integrin,1
Renal and urinary disorders,Adalimumab,Anti-TNF,1
Renal and urinary disorders,Adalimumab,Anti-TNF,1
Renal and urinary disorders,Vedolizumab,Anti-integrin,1
Respiratory thoracic and mediastinal disorders,Vedolizumab,Anti-integrin,1
Respiratory thoracic and mediastinal disorders,Infliximab,Anti-TNF,1
Respiratory thoracic and mediastinal disorders,Vedolizumab,Anti-integrin,1
Respiratory thoracic and mediastinal disorders,Infliximab,Anti-TNF,2
Respiratory thoracic and mediastinal disorders,Vedolizumab,Anti-integrin,1
Skin and subcutaneous tissue disorders,Adalimumab,Anti-TNF,1
Skin and subcutaneous tissue disorders,Infliximab,Anti-TNF,1
Skin and subcutaneous tissue disorders,Ustekinumab,Anti-IL-12/23,1
Skin and subcutaneous tissue disorders,Vedolizumab,Anti-integrin,1
Vascular disorders,Adalimumab,Anti-TNF,1
Vascular disorders,Infliximab,Anti-TNF,3
Vascular disorders,Ustekinumab,Anti-IL-12/23,1
Vascular disorders,Infliximab,Anti-TNF,2
Vascular disorders,Ustekinumab,Anti-IL-12/23,1
